Classe,Age,Cle_logbook,Freq_comm_ecrit,Lecture_comm_ecrit,Objectif_commentaire,Texte_objectif_comm_ecrit,Impact_comm_ecrit,Comp_comm_ecrit,Freq_comm_oral,Moment_comm_oral,Comp_comm_oral,Impact_comm_oral,Prof_comm_oral_prive,Gene_comm_oral,Raison_gene_comm_oral,Raison_gene_autre,Pref_ecrit_oral,Pref_ecrit_oral_texte,Pref_freq_oral,Besoin_comm_oral,Besoin_comm_oral_text,Motiv_comm,Motiv_text,Peur,Methodes_travail,Commentaire_libre,Image1,Image2,Créé à
3e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Être encouragé(e),,Pas vraiment,Je demande à un camarade,Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Je n'ai pas de préférence,,Je ne sais pas,"Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils me découragent souvent,,"Parfois, ça dépend du professeur","Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""","Certain professeurs n'aident pas assez, ou ne cherche pas a chercher plus loin que le résulta.",,,2025-10-17 10:37am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,Je ne m’en souviens pas,La plupart du temps,Pas vraiment,Je n'ai pas de préférence,"Rarement, ça va",Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Non,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,"Parfois ça m'encourage, parfois ça me décourage",,"Jamais, j'ose toujours demander","Je relis le cours, Je fais des fiches de révision",,,,2025-10-17 10:37am
3e,13-14 ans,,"Oui, souvent",La plupart du temps,Savoir ce que je dois améliorer,comprendre mes erreurs,Un peu,"Je demande des explications au professeur, Je demande à mes parents",Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,"Rarement, ça va",Cela ne m'est jamais arrivé,,Oraux,c'est souvent plus clair qu'à l'écrit ,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent souvent,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je fais des fiches de révision",,,,2025-10-17 10:38am
3e,13-14 ans,,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Parfois,Je ne m’en souviens pas,Parfois c'est un peu flou,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,moin humiliant,Non,"""Ce que j'ai bien fait, mes points forts""",,Ils m'encouragent toujours à mieux faire,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je fais des fiches de révision",,,,2025-10-17 10:39am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que j’ai bien fait,,Pas vraiment,"Je demande des explications au professeur, ""Je laisse tomber, tant pis""",Parfois,Pendant une discussion individuelle (juste avec moi),Souvent je ne comprends pas bien,Pas du tout,Je préfère éviter les commentaires oraux,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,parce que a l'oral si c'est devant tout le monde les élèves vont écouter,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,2025-10-17 10:40am
3e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,Je demande des explications au professeur,Jamais ou presque jamais,Je ne m’en souviens pas,La plupart du temps,Pas vraiment,En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,"Car pour moi,c'est plus précis et plus personelle et le profeseur passe plus de temps a expliquer.",Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",De faire les mauvais commentaires en privé au lieu de dévaloriser l'élève devant tout le monde.,,,2025-10-17 10:42am
3e,13-14 ans,,Parfois,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Pas du tout,Je demande des explications au professeur,Rarement,Je ne m’en souviens pas,"Oui, toujours, c'est très clair",Pas du tout,Cela dépend du type de commentaire,"Souvent, je n'aime pas ça","""Autre, complète ci-contre""",Je n'aime pas que les autres voient mes notes,Écrits,Je ne sais pas,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,Leur parole ne change rien.,"Toujours, je n'ose pas poser de questions","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",Arretez de dévaloriser les élèves en difficultées.,,,2025-10-17 10:42am
4e,13-14 ans,,Parfois,Je regarde juste le résultat (note ou compétences),Comprendre pourquoi j'ai eu cette note,conpprendre ce que  je doit ameliore ,Pas vraiment,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question",Parfois,Je ne m’en souviens pas,La plupart du temps,Pas du tout,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",il se moquait,Je n'ai pas de préférence,,Non,Ce que je dois corriger précisément,,"Parfois ça m'encourage, parfois ça me décourage",,Souvent,Je relis le cours,,,,2025-10-17 10:42am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que j’ai bien fait,,Pas vraiment,J'ai peur de poser la question,Parfois,Je ne m’en souviens pas,Souvent je ne comprends pas bien,Je ne sais pas,En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,pour ne pas avoir la honte car en ce moment j'ai des mauvais notes.,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts""",,Ils me découragent toujours,Sa me donne pas l'envie de travailler..,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je me fais aider par une I.A.",J'essayerais de faire de mon mieux malgré mon niveau..,,,2025-10-17 10:42am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas du tout,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Parfois,"Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations",La plupart du temps,Pas du tout,En privé (juste moi et le professeur),"Rarement, ça va","Les autres élèves se sont moqués, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,parce que je veux ,Oui,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils me découragent toujours,,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,2025-10-17 10:42am
3e,13-14 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Comprendre pourquoi j'ai eu cette note,rien,Pas du tout,Je demande des explications au professeur,Parfois,Je ne m’en souviens pas,Parfois c'est un peu flou,Pas vraiment,En privé (juste moi et le professeur),Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Non,Des exemples pour mieux comprendre,,Ils n'ont pas d'effet sur ma motivation,,"Jamais, j'ose toujours demander","Je relis le cours, Je révise avec des camarades",non,,,2025-10-17 10:43am
3e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,"Je demande à un camarade, J'essaie de deviner ce que ça veut dire, J'ai peur de poser la question",Jamais ou presque jamais,Je ne m’en souviens pas,Parfois c'est un peu flou,Je ne sais pas,En privé (juste moi et le professeur),"Souvent, je n'aime pas ça","""Autre, complète ci-contre""",sa me gène ,Écrits,moins humiliant,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils n'ont pas d'effet sur ma motivation,,Souvent,"Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,2025-10-17 10:48am
3e,15-16 ans,,Parfois,"Parfois, ça dépend de la matière ou de la note",Savoir ce que j’ai bien fait,,"Oui, beaucoup","Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant les pauses ou récréations,"Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Écrits,,Non,"""Ce que j'ai bien fait, mes points forts""",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander",Rien de tout cela suivre le cours me suffit,rien à dire,,,2025-10-17 10:49am
3e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Je ne sais pas,Je demande à un camarade,"Oui, souvent",Pendant une discussion individuelle (juste avec moi),La plupart du temps,Je ne sais pas,Cela dépend du type de commentaire,"Souvent, je n'aime pas ça",Cela ne m'est jamais arrivé,,Écrits,car je les lis toute seul,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,2025-10-17 10:49am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup",Je demande des explications au professeur,Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",Je n'ai pas de préférence,"Rarement, ça va",J'ai eu l'impression d'être jugé(e) devant les autres,,Je n'ai pas de préférence,,Oui,"""Ce que j'ai bien fait, mes points forts""",,Ils n'ont pas d'effet sur ma motivation,,"Jamais, j'ose toujours demander","Je relis le cours, Je refais des exercices, Je fais des fiches de révision",,,,2025-10-17 10:50am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,"Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire",Rarement,Pendant la correction collective devant toute la classe,La plupart du temps,Pas vraiment,En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,,Non,"""Ce que j'ai bien fait, mes points forts"", Des conseils concrets pour progresser",,Ils me découragent souvent,,"Jamais, j'ose toujours demander","Je relis le cours, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,...""",,,,2025-10-17 10:50am
3e,13-14 ans,,Parfois,La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande à mes parents,Parfois,Je ne m’en souviens pas,La plupart du temps,"Oui, un peu",En privé (juste moi et le professeur),Jamais,Cela ne m'est jamais arrivé,,Écrits,,Je ne sais pas,Des encouragements pour me motiver,,"Parfois ça m'encourage, parfois ça me décourage",,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision",,,,2025-10-17 10:50am
3e,15-16 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Savoir ce que je dois améliorer,,Pas du tout,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents",Rarement,Je ne m’en souviens pas,Souvent je ne comprends pas bien,Pas du tout,En privé (juste moi et le professeur),"Toujours, je suis gêné","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués",,Écrits,sinon je me sent jugé,Non,"""Ce que j'ai bien fait, mes points forts"", Des encouragements pour me motiver",,Ils me découragent toujours,je me fais insulté de tocar,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je me fais aider par une I.A., Je suis des cours particuliers","je me sent persecuter, rabaisser constament comme si j'etais pas des leurs, comme si j'etais un etranger a leur yeux. Le systeme scolaire est horrible, defois, sa me pourris mon sommeil car je suis somnambule mais bon ils font de leur mieux. Je sais que mon message servira a rien mais bon je voulais m'exprimer car je suis quelqu'un de très grande taille et les profs me dise que je suis peut être grand physiquement mais que dans le crane j'ai rien et que je sert a rien donc bon moi qui essaye de faire des effort, je me sens rabaisser constamment et sa m'énerve car ma famille me méprise au plus au point a cause de mes notes car je suis pas très intelligent donc bon. J'espère que se message va aller jusqu'à l'assembler nationale pour que vous trouviez une solution. cordialement",,,2025-10-17 10:52am
3e,13-14 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Comprendre pourquoi j'ai eu cette note,,Pas du tout,"J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Parfois,"Pendant la correction collective devant toute la classe, Pendant des travaux en groupes, Pendant les pauses ou récréations",Parfois c'est un peu flou,Pas du tout,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",Le commentaire était trop négatif,,Je n'ai pas de préférence,je sais pas,Je ne sais pas,"Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils me découragent souvent,,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision","nous somme pas heureus de venir en cour ,le matin on doit se lever a 6h pour finir a 17h plus le trajet du bus, les montagne de devoir qui se finisse a pas d'heure pour se rechoucher est re aller a l'ecole insi de suite .Faire 13ans d'etude pour gagner mois qu'une meuf qui poste c'est pied sur internet. 90% de se con apprend au college ne saire a rien dans la vie de tous les jour , desoler je n'utiliserais pas le tehoreme de pytagore pour ma maison (elle ne seras triangulaire) . A cause de vous on va finir a la rue ",,,2025-10-17 10:53am
3e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Être encouragé(e),savoir mes fautes pour m'amiliorer,Un peu,"""Je laisse tomber, tant pis"", J'ai peur de poser la question",Jamais ou presque jamais,Je ne m’en souviens pas,"Non, c'est rarement clair pour moi","Oui, beaucoup, c'est plus clair qu'à l'écrit",Je n'ai pas de préférence,"Rarement, ça va","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Un mélange des deux,jsp,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,Ils m'encouragent toujours à mieux faire,,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",juste aidez a progrreser au lieu de nous pourir notre futur orientation . jsp mais c pas votre travail de nous aidez et de nous faire progresser? jsp mais poser vous d'abord si vous aimez votre travail nn ?es que vous croyer vraiment que nous somme hureux de venir a l'ecole juste arrter de vous plaindre c nous qui subisson avec vos montagne de devoirs on est fatiguer on a pas le temp d'apprendre correctement vos leçons et après vous vous permettez de nous faire des remarque négative comme quoi il faut mieux réviser vous trouver sa normal de faire ces devoir j'us qua 23h le soir ? bref meme si notre travail est incomplet et mauvais faut se poser les bonnes quesstion audez nous en nous complimenter nous valoriser nous rabesser n'augmente pas notre envie de reussir . nous subbisson sa depuis dix an que des critique des proffesseurs mais rarement des compliments bref comment vous pensser vraimet que l'on va faire de longue etudes vous ne voulez pas notre bien et notre reussite sinon retenez juste de nous complimenter c'est notre vie entier que vous avez entre vos main vouv voulez que l'on  finissent dans la rue non crois ? mais c l'envie que vous dégager,,,2025-10-17 10:56am
3e,15-16 ans,,"Oui, souvent","Parfois, ça dépend de la matière ou de la note",Comprendre pourquoi j'ai eu cette note,,Pas vraiment,"""Je laisse tomber, tant pis""","Oui, souvent","Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)","Oui, toujours, c'est très clair","Oui, un peu",En privé (juste moi et le professeur),"Souvent, je n'aime pas ça",Le commentaire était trop négatif,,Écrits,car sa permet que le reste de la classe ne sache pas,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,"Parfois ça m'encourage, parfois ça me décourage",,"Toujours, je n'ose pas poser de questions","Je relis le cours, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",,,,2025-10-17 10:58am
3e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas du tout,"""Je laisse tomber, tant pis""",Rarement,Je ne m’en souviens pas,Souvent je ne comprends pas bien,Je ne sais pas,Je préfère éviter les commentaires oraux,Jamais,Cela ne m'est jamais arrivé,,Écrits,,Non,Ce que je dois corriger précisément,,Ils n'ont pas d'effet sur ma motivation,c'est la vie,"Toujours, je n'ose pas poser de questions",Je relis le cours,et ba c'et bien ,,,2025-10-17 11:01am
4e,11-12 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,Je ne m’en souviens pas,"Oui, toujours, c'est très clair",Pas vraiment,Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,,Non,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent souvent,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",non,,,2025-10-17 2:24pm
4e,13-14 ans,,Rarement,"Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,"Oui, beaucoup",Je demande des explications au professeur,Jamais ou presque jamais,Je ne m’en souviens pas,"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),"Rarement, ça va",Cela ne m'est jamais arrivé,,Écrits,car c'est plus intime,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, Je révise avec des camarades",non,,,2025-10-17 2:25pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,"Oui, beaucoup","Je demande des explications au professeur, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant une discussion individuelle (juste avec moi),"Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",En privé (juste moi et le professeur),Jamais,Cela ne m'est jamais arrivé,,Oraux,je comprend mieux mes erreurs grâce à ça.,Oui,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,car je me dis que je peux toujours faire mieux,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices",,,,2025-10-17 2:25pm
4e,13-14 ans,,"Oui, souvent",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Pas du tout,"J'essaie de deviner ce que ça veut dire, ""Je laisse tomber, tant pis""",Rarement,Je ne m’en souviens pas,La plupart du temps,Pas du tout,Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,je ne sais pas,Non,"""Ce que j'ai bien fait, mes points forts""",,Ils n'ont pas d'effet sur ma motivation,je ne sais pas,"Parfois, ça dépend du professeur",Rien de tout cela suivre le cours me suffit,non,,,2025-10-17 2:25pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,"Oui, souvent","Pendant la correction collective devant toute la classe, Pendant une discussion individuelle (juste avec moi)",Parfois c'est un peu flou,"Oui, un peu",En privé (juste moi et le professeur),"Toujours, je suis gêné",J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,c'est plus compréhensible et c'est pas en trois mots comme sur les feuilles,Oui,Des conseils concrets pour progresser,,"Parfois ça m'encourage, parfois ça me décourage",sa dépend si j'était capable de faire l'exercice auquel j'ai fait la faute,"Toujours, je n'ose pas poser de questions",Je relis le cours,non,,,2025-10-17 2:26pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,savoir ci j'ai bien travaillé,"Oui, beaucoup","Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire","Oui, souvent","Pendant une discussion individuelle (juste avec moi), Pendant les pauses ou récréations, Je ne m’en souviens pas","Oui, toujours, c'est très clair","Oui, beaucoup, c'est plus clair qu'à l'écrit",Je n'ai pas de préférence,Jamais,Cela ne m'est jamais arrivé,,Un mélange des deux,orale il y a plus de détaille et a l'écrit pour se souvenir,Oui,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",,,,2025-10-17 2:26pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire","Oui, souvent",Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit",J'ai eu l'impression d'être jugé(e) devant les autres,,Oraux,c'est plus compréansible,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver, Des exemples pour mieux comprendre",,Ils m'encouragent toujours à mieux faire,car sa me motive ,"Parfois, ça dépend du professeur","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je refais des exercices, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je me fais aider par une I.A., Je révise avec des camarades",,,,2025-10-17 2:27pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs","Oui, je les lis toujours attentivement",Comprendre pourquoi j'ai eu cette note,,Un peu,Je demande des explications au professeur,Parfois,Pendant une discussion individuelle (juste avec moi),La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Je n'ai pas de préférence,Car je comprends souvent les commentaires qu'il soit écrit ou oral,Non,"Ce que je dois corriger précisément, Des conseils concrets pour progresser",,Ils m'encouragent toujours à mieux faire,,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices",,,,2025-10-17 2:27pm
4e,13-14 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Un peu,"Je demande des explications au professeur, Je demande à mes parents",Parfois,Pendant la correction collective devant toute la classe,La plupart du temps,"Oui, un peu",Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Le commentaire était trop négatif",,Écrits,car elle reste privée,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts"", Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des encouragements pour me motiver",,"Parfois ça m'encourage, parfois ça me décourage",,"Jamais, j'ose toujours demander","Je reprends les dernières évaluations pour comprendre ce que je peux améliorer, Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Je révise avec des camarades",non,,,2025-10-17 2:27pm
4e,11-12 ans,,Jamais ou presque jamais,Je regarde juste le résultat (note ou compétences),Savoir ce que je dois améliorer,,Pas du tout,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire",Rarement,Pendant la correction collective devant toute la classe,"Non, c'est rarement clair pour moi",Pas du tout,Je préfère éviter les commentaires oraux,"Souvent, je n'aime pas ça","J'ai eu l'impression d'être jugé(e) devant les autres, Je n'ai pas compris et je n'ai pas osé demander",,Écrits,CAR COMME SA PERSONNE SAIT ,Je ne sais pas,"""Ce que j'ai bien fait, mes points forts""",,Ils me découragent souvent,CAR J AI L IMPRESSION D ETRE JUGER,"Jamais, j'ose toujours demander",Je reprends les dernières évaluations pour comprendre ce que je peux améliorer,POURRIS,,,2025-10-17 2:27pm
4e,11-12 ans,,"Oui, souvent","Oui, je les lis toujours attentivement",Savoir ce que je dois améliorer,,Pas vraiment,Je demande des explications au professeur,"Oui, souvent",Je ne m’en souviens pas,Parfois c'est un peu flou,Pas vraiment,Cela dépend du type de commentaire,"Parfois, selon ce qui est dit","J'ai eu l'impression d'être jugé(e) devant les autres, Les autres élèves se sont moqués, Le commentaire était trop négatif",,Un mélange des deux,POUR PLUS DE PRECISION,Non,"""Ce que j'ai bien fait, mes points forts""",,Ils n'ont pas d'effet sur ma motivation,PARCE QUE,"Parfois, ça dépend du professeur","Je relis le cours, Je refais des exercices, Je fais des fiches de révision, ""Je m'aide d'internet en utilisant des vidéos, des tutoriels,..."", Rien de tout cela suivre le cours me suffit",nonnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,2025-10-17 2:27pm
4e,13-14 ans,,"Oui, sur presque tous mes devoirs",La plupart du temps,Comprendre pourquoi j'ai eu cette note,,Je ne sais pas,"Je demande des explications au professeur, Je demande à un camarade, Je demande à mes parents, J'essaie de deviner ce que ça veut dire","Oui, souvent",Je ne m’en souviens pas,La plupart du temps,"Oui, beaucoup, c'est plus clair qu'à l'écrit",Cela dépend du type de commentaire,Jamais,Cela ne m'est jamais arrivé,,Oraux,Car c'est plus clair.,Je ne sais pas,"Ce que je dois corriger précisément, Des conseils concrets pour progresser, Des exemples pour mieux comprendre",,Ils n'ont pas d'effet sur ma motivation,,"Parfois, ça dépend du professeur","Je relis le cours, Je fais des fiches de révision, Je révise avec des camarades",,,,2025-10-17 2:28pm
